TIME(MS);AXL_X;MIN;MAX;AVG;VAR;AXL_Y;MIN;MAX;AVG;VAR;AXL_Z;MIN;MAX;AVG;VAR
6402;12;10;14;11,45;0,9;246;244;249;246,64;1,17;29;26;32;29,55;1,53
13300;12;8;14;11,3;1,11;246;244;250;246,48;1,31;30;26;32;29,59;1,52
20201;11;10;14;11,52;1,31;248;244;251;246,58;2,43;30;26;32;29,61;1,36
27101;12;9;15;11,7;1,05;245;244;249;246,48;1,03;30;27;32;29,62;0,98
34001;13;9;14;11,78;1,33;245;244;250;246,61;1,74;29;26;32;29,14;1,5
40900;11;10;14;11,81;1,56;245;244;250;246,41;1,52;31;27;32;29,53;1,12
47801;11;9;14;11,73;0,73;247;245;249;246,55;0,75;30;27;31;29,33;0,91
54702;10;9;14;11,5;0,88;248;245;249;246,52;1;28;27;31;29,36;1,32
61601;10;10;13;11,5;1;248;244;249;246,59;0,87;29;27;32;29,72;1,14
68501;11;6;14;11,47;1,87;247;244;249;246,53;1,37;29;27;32;29,55;1,47
75401;12;8;14;11,59;1,18;245;245;249;246,64;0,64;30;26;31;29,34;1,23
82301;13;9;13;11,61;0,89;247;245;249;246,94;0,84;29;28;32;29,62;0,98
89201;11;9;15;11,81;1,59;245;244;249;246,5;1,06;30;27;32;29,41;1,33
96101;12;10;14;11,77;0,9;247;244;249;246,55;1,19;28;26;32;29,59;1,46
103002;12;9;14;11,61;1,18;246;243;249;246,23;1,8;30;24;32;29,37;1,8
109901;11;9;14;11,72;1,11;248;244;249;246,7;1,24;29;27;32;29,41;0,96
116801;11;9;19;11,97;3,41;247;243;253;246,88;2,95;30;20;32;28,86;5,09
123702;12;8;14;11,72;1,14;247;244;249;246,34;0,94;29;26;32;28,91;2,02
130600;11;10;14;11,92;1,26;248;244;249;246,23;1,52;29;28;32;29,7;1,11
137500;13;9;14;11,58;1,03;245;245;249;246,53;0,91;29;27;32;29,42;1,53
144401;11;9;14;11,7;1,27;249;244;249;246,63;1,48;29;26;32;29,53;1,31
151302;13;9;15;11,94;1,43;245;240;249;246,31;2,68;30;27;32;29,61;1,43
158201;12;10;13;11,7;0,8;246;244;249;246,42;1,31;31;26;32;29,75;1,66
165101;13;9;14;11,88;1,45;246;243;249;246,48;1,19;29;28;31;29,44;0,75
172002;11;6;14;11,63;2,14;247;243;249;246,61;1,58;28;23;32;29,05;2,26
178902;11;9;14;11,73;1,63;247;245;250;246,52;1,66;30;27;32;29,41;1,52
185801;8;8;14;11,7;1,4;248;244;249;246,67;1,41;30;24;31;29,36;1,67
192701;10;9;14;11,47;1,75;248;244;249;246,75;1,66;29;27;34;29,72;1,95
199602;11;9;14;11,58;1,43;248;243;249;246,45;1,44;30;26;31;29,11;1,03
206501;11;7;14;11,64;1,89;247;238;249;246,34;2,76;29;15;32;29,19;4,31
213400;12;9;15;11,83;1,83;247;243;249;246,36;1,51;30;27;33;29,31;2,15
220302;11;9;15;11,72;1,86;246;244;252;246,78;2,45;32;27;32;29,52;1,31
227202;14;9;14;11,41;1,74;246;244;249;246,53;1,31;30;28;32;29,44;0,9
234101;12;9;14;11,86;1,31;246;244;248;246,45;1,5;30;21;32;29,14;4,53
241001;11;9;13;11,58;0,84;247;244;249;246,42;0,9;30;26;32;29,47;1,41
247902;12;9;14;11,64;0,82;247;245;249;246,61;0,99;30;27;33;29,52;1,19
254801;11;10;14;11,64;1,01;249;244;249;246,56;1;31;26;31;29,16;1,57
