TIME(MS);GYR_X;MIN;MAX;AVG;VAR;GYR_Y;MIN;MAX;AVG;VAR;GYR_Z;MIN;MAX;AVG;VAR
6500;-60;-89;-1;-60,14;142,12;-28;-38;-17;-28,94;10,15;75;71;89;79,22;14,92
13402;-77;-78;-34;-61,2;103,41;-27;-37;-23;-27,98;7,42;96;59;137;93,19;153,56
20301;-87;-94;-3;-78,53;173,87;-27;-30;-16;-25,33;6,47;89;67;106;92,37;40,61
27201;-80;-95;-51;-74,75;83,31;-29;-34;-8;-25,8;15,6;95;35;130;93;196,19
34102;-45;-76;-45;-60,7;52,36;-29;-34;-25;-28,95;4,86;94;63;104;83,03;39,78
41001;-84;-88;-43;-68,27;124,57;-24;-33;-20;-26,8;6,76;102;74;109;100,33;44,03
47901;-80;-110;-45;-82,52;83,34;-22;-32;-16;-24,67;10,03;103;69;138;104,72;114,92
54801;-68;-98;-37;-72,19;91,31;-29;-33;-19;-26,19;7,81;86;74;115;88,78;68,3
61701;-46;-75;-40;-55,31;57,96;-28;-34;-26;-30,25;3,94;89;67;109;82,64;68,79
68601;-90;-126;-1;-66,98;424,64;-27;-42;-10;-26,73;18,54;109;84;118;103,47;58,06
75501;-78;-102;-69;-84,67;45,03;-26;-33;-16;-24,34;6,1;91;77;121;102,89;79,32
82402;-65;-88;-54;-69,27;52,04;-30;-34;-21;-27,84;7,76;79;73;111;83,94;55
89300;-55;-92;-26;-58,92;138,26;-30;-35;-22;-29,23;9,12;94;65;123;89,56;117,03
96200;-74;-91;-29;-70,58;78,96;-28;-32;-22;-26,67;4,38;110;83;127;98,55;41
103101;-85;-87;-60;-79,67;25,6;-23;-32;-21;-24,56;3,9;93;78;108;94,2;43,51
110002;-50;-87;-49;-64,41;68,3;-30;-32;-22;-27,84;5,48;92;79;106;87;25,12
116901;-60;-90;-22;-60,06;152,43;-26;-33;-19;-27,94;6,9;99;51;102;87,45;102,65
123801;-83;-95;-41;-69,44;181,12;-26;-31;-22;-26,66;5,26;108;81;118;102,11;76,22
130702;-69;-95;-39;-79,52;106,5;-24;-32;-17;-24,28;11,51;89;82;120;103,67;59,78
137602;-66;-85;-59;-72,69;21,65;-30;-32;-21;-27,23;8,99;78;73;100;83,48;53,41
