TIME(MS);MAG_X;MIN;MAX;AVG;VAR;ECART;MAG_Y;MIN;MAX;AVG;VAR;ECART;MAG_Z;MIN;MAX;AVG;VAR;ECART
6404;-630;-636;-621;-628,3;9,33;3,05450487;1390;1377;1390;1383,34;9,41;3,06757233;725;698;735;713,95;64,48;8,02994396
13303;-628;-631;-620;-626,52;6,03;2,455605832;1387;1380;1392;1386,88;6,55;2,559296778;717;686;740;716,66;103,88;10,19215384
20203;-625;-637;-621;-627,56;9,59;3,096772513;1382;1378;1397;1386,59;13,12;3,622154055;719;701;733;714,28;45,64;6,755738302
27104;-632;-634;-624;-628,86;6,43;2,535744467;1385;1378;1391;1384,78;8,51;2,917190429;711;693;731;711,66;61,01;7,810889834
34003;-628;-636;-624;-629,56;7,31;2,703701167;1385;1375;1390;1382,38;9,02;3,003331484;707;689;726;709,16;59,94;7,74209274
40903;-628;-636;-624;-630,16;7,29;2,7;1377;1376;1392;1382,69;9,28;3,046309242;724;693;734;713,77;72,05;8,488227141
47803;-628;-637;-623;-631,39;8,58;2,929163703;1379;1377;1390;1383,47;8,75;2,958039892;721;688;735;712,09;83,37;9,130717387
54703;-632;-637;-622;-629,63;6,73;2,594224354;1384;1375;1391;1383,36;7,54;2,745906044;722;697;732;714,69;64,31;8,019351595
61603;-632;-636;-623;-630;7;2,645751311;1379;1373;1391;1382,23;8,93;2,988310559;716;698;737;715,36;67,29;8,203048214
68503;-626;-637;-622;-629;10,06;3,171750305;1383;1377;1391;1384,11;9,19;3,031501278;706;694;735;713,11;83,66;9,146584062
75403;-631;-635;-623;-629,08;6,92;2,630589288;1383;1375;1392;1384,27;10,48;3,237282811;710;699;727;712,61;57,64;7,592101158
82304;-634;-635;-622;-629,33;8,44;2,905167809;1380;1378;1392;1383,63;10,55;3,248076354;721;692;738;709,14;68,93;8,302409289
89202;-631;-635;-623;-629;5,72;2,391652149;1386;1378;1393;1384,45;9,19;3,031501278;711;691;723;707,13;60,83;7,799358948
96103;-628;-638;-625;-630,3;7,71;2,776688675;1384;1378;1395;1384,38;11,52;3,39411255;705;690;724;708,67;63,6;7,974960815
103004;-628;-642;-623;-630,84;11,26;3,355592347;1376;1376;1393;1384,95;12,23;3,49714169;699;688;720;705,53;44,06;6,63777071
109903;-630;-639;-623;-631,98;8,61;2,93428015;1384;1375;1393;1385,42;8,37;2,893095228;716;693;725;708;58,81;7,668767828
